country,group,x,y,size,shape
Albany Park,% Below Poverty,19.2,880.8551769,20,circle
Archer Heights,% Below Poverty,14.1,3872.353858,20,circle
Armour Square,% Below Poverty,40.1,1931.516971,20,circle
Ashburn,% Below Poverty,10.4,2651.901718,20,circle
Auburn Gresham,% Below Poverty,27.6,1255.863583,20,circle
Austin,% Below Poverty,28.6,1362.841996,20,circle
Avalon Park,% Below Poverty,17.2,1878.334743,20,circle
Avondale,% Below Poverty,15.3,1390.653873,20,circle
Belmont Cragin,% Below Poverty,18.7,1277.343379,20,circle
Beverly,% Below Poverty,5.1,2238.309278,20,circle
Bridgeport,% Below Poverty,18.9,1231.014183,20,circle
Brighton Park,% Below Poverty,23.6,1044.846459,20,circle
Burnside,% Below Poverty,33,2419.796811,20,circle
Calumet Heights,% Below Poverty,11.5,2943.37445,20,circle
Chatham,% Below Poverty,27.8,1351.766273,20,circle
Chicago Lawn,% Below Poverty,27.9,896.2932214,20,circle
Clearing,% Below Poverty,8.9,2349.867681,20,circle
Douglas,% Below Poverty,29.6,3817.219218,20,circle
Dunning,% Below Poverty,10.6,1798.736214,20,circle
East Garfield Park,% Below Poverty,42.4,1049.155162,20,circle
East Side,% Below Poverty,19.2,1188.710467,20,circle
Edgewater,% Below Poverty,18.2,1286.171946,20,circle
Edison Park,% Below Poverty,3.3,2062.380907,20,circle
Englewood,% Below Poverty,46.6,1015.392615,20,circle
Forest Glen,% Below Poverty,7.5,4972.301066,20,circle
Fuller Park,% Below Poverty,51.2,2362.051421,20,circle
Gage Park,% Below Poverty,23.4,1143.7978,20,circle
Garfield Ridge,% Below Poverty,8.8,2657.119848,20,circle
Grand Boulevard,% Below Poverty,29.3,1093.053954,20,circle
Greater Grand Crossing,% Below Poverty,29.6,1060.387307,20,circle
Hegewisch,% Below Poverty,17.1,1774.926847,20,circle
Hermosa,% Below Poverty,20.5,854.7498556,20,circle
Hyde Park,% Below Poverty,18.4,771.6942834,20,circle
Irving Park,% Below Poverty,13.1,1077.466295,20,circle
Jefferson Park,% Below Poverty,8.6,1771.545703,20,circle
Kenwood,% Below Poverty,21.7,1322.053599,20,circle
Lincoln Park,% Below Poverty,12.3,1734.204035,20,circle
Lincoln Square,% Below Poverty,10.9,1269.388644,20,circle
Logan Square,% Below Poverty,16.8,1207.886796,20,circle
Lower West Side,% Below Poverty,25.8,1864.515704,20,circle
McKinley Park,% Below Poverty,18.7,1480.248501,20,circle
Morgan Park,% Below Poverty,13.2,1967.196895,20,circle
Mount Greenwood,% Below Poverty,3.4,2578.467216,20,circle
Near North Side,% Below Poverty,12.9,8208.603283,20,circle
Near South Side,% Below Poverty,13.8,12080.00595,20,circle
Near West Side,% Below Poverty,20.6,9788.721884,20,circle
New City,% Below Poverty,29,2366.050754,20,circle
North Center,% Below Poverty,7.5,1630.172547,20,circle
North Lawndale,% Below Poverty,43.1,1300.21189,20,circle
North Park,% Below Poverty,13.2,2881.256453,20,circle
Norwood Park,% Below Poverty,5.4,2756.760414,20,circle
O'Hare,% Below Poverty,15.4,2314.287154,20,circle
Oakland,% Below Poverty,39.7,855.1164473,20,circle
Portage Park,% Below Poverty,11.6,1278.052501,20,circle
Pullman,% Below Poverty,21.6,4603.634949,20,circle
Riverdale,% Below Poverty,56.5,15492.7166,20,circle
Rogers Park,% Below Poverty,23.6,888.2284405,20,circle
Roseland,% Below Poverty,19.8,1830.461906,20,circle
South Chicago,% Below Poverty,29.8,930.1645438,20,circle
