group,x,y
Electricity Accounts,0,12.1993007
Electricity Accounts,1,9.892950392
Electricity Accounts,2,17.96
Electricity Accounts,3,14.33949192
Electricity Accounts,4,10.90375088
Electricity Accounts,5,11.39560878
Electricity Accounts,6,11.4
Electricity Accounts,7,12.20185376
Electricity Accounts,8,10.84662577
Electricity Accounts,9,13.76292335
Electricity Accounts,10,12.27582535
Electricity Accounts,11,11.73032529
Electricity Accounts,12,8.713043478
Electricity Accounts,13,11.29856851
Electricity Accounts,14,12.90020367
Electricity Accounts,15,9.92398524
Electricity Accounts,16,13.77722772
Electricity Accounts,17,31.51933702
Electricity Accounts,18,14.00183318
Electricity Accounts,19,10.3502455
Electricity Accounts,20,10.81556684
Electricity Accounts,21,24.52487805
Electricity Accounts,22,12.95705521
Electricity Accounts,23,8.413284133
Electricity Accounts,24,13.6416185
Electricity Accounts,25,9.387096774
Electricity Accounts,26,10.08312958
Electricity Accounts,27,12.86477644
Electricity Accounts,28,12.13375796
Electricity Accounts,29,9.459582198
Electricity Accounts,30,10.19877676
Electricity Accounts,31,10.95683453
Electricity Accounts,32,22.21980676
Electricity Accounts,33,11.38721573
Electricity Accounts,34,12.48753117
Electricity Accounts,35,32.35319149
Electricity Accounts,36,18.7532291
Electricity Accounts,37,13.04930156
Electricity Accounts,38,10.79576857
Electricity Accounts,39,119.6139241
Electricity Accounts,40,12.22048067
Electricity Accounts,41,10.84734513
Electricity Accounts,42,12.99835796
Electricity Accounts,43,18.27717391
Electricity Accounts,44,70.42204724
Electricity Accounts,45,87.5042735
Electricity Accounts,46,25.0804721
Electricity Accounts,47,8.976798144
Electricity Accounts,48,11.37542373
Electricity Accounts,49,10.56915423
Electricity Accounts,50,12.68950749
Electricity Accounts,51,13.31088561
Electricity Accounts,52,44.15322581
Electricity Accounts,53,18.18691589
Electricity Accounts,54,12.42766571
Electricity Accounts,55,15.62566845
Electricity Accounts,56,20.41304348
Electricity Accounts,57,18.5821727
Electricity Accounts,58,9.448770492
Electricity Accounts,59,10.23115578
Electricity Accounts,60,12.19132653
Electricity Accounts,61,12.4576659
Electricity Accounts,62,14.61718098
Electricity Accounts,63,25.72511848
Electricity Accounts,64,12.65322581
Electricity Accounts,65,11.80839895
Electricity Accounts,66,7.67194005
Electricity Accounts,67,9.946666667
Electricity Accounts,68,12.31395349
Electricity Accounts,69,8.315645014
Electricity Accounts,70,14.55913978
Electricity Accounts,71,12.55998589
Electricity Accounts,72,14.14576271
Gas Accounts,0,12.13001745
Gas Accounts,1,9.888888889
Gas Accounts,2,14.88405797
Gas Accounts,3,14.42099057
Gas Accounts,4,10.55278174
Gas Accounts,5,10.97261377
Gas Accounts,6,11.21450151
Gas Accounts,7,13.04102564
Gas Accounts,8,10.68379888
Gas Accounts,9,12.89399293
Gas Accounts,10,13.01908802
Gas Accounts,11,12.31861199
Gas Accounts,12,7.307017544
Gas Accounts,13,10.90612245
Gas Accounts,14,11.84989648
Gas Accounts,15,9.962686567
Gas Accounts,16,12.5625
Gas Accounts,17,10.32240437
Gas Accounts,18,12.50600185
Gas Accounts,19,9.257377049
Gas Accounts,20,11.27833333
Gas Accounts,21,12.23167155
Gas Accounts,22,12.61349693
Gas Accounts,23,6.979166667
Gas Accounts,24,13.72340426
Gas Accounts,25,6.905982906
Gas Accounts,26,10.17567568
Gas Accounts,27,12.63806381
Gas Accounts,28,9.481300813
Gas Accounts,29,8.918273646
Gas Accounts,30,10.0308642
Gas Accounts,31,11.25939177
Gas Accounts,32,13.8425
Gas Accounts,33,10.81253841
Gas Accounts,34,11.62408759
Gas Accounts,35,16.9017094
Gas Accounts,36,13.71161826
Gas Accounts,37,12.2046589
Gas Accounts,38,11.30310881
Gas Accounts,39,11.85416667
Gas Accounts,40,13.12242798
Gas Accounts,41,10.87583149
Gas Accounts,42,12.185
Gas Accounts,43,17.38692098
Gas Accounts,44,13.10207337
Gas Accounts,45,31.96551724
Gas Accounts,46,16.80851064
Gas Accounts,47,9.312792512
Gas Accounts,48,11.67544605
Gas Accounts,49,9.947947948
Gas Accounts,50,10.92440605
Gas Accounts,51,12.3511236
Gas Accounts,52,18.35185185
Gas Accounts,53,9.112149533
Gas Accounts,54,12.07134571
Gas Accounts,55,15.04864865
Gas Accounts,56,14.62068966
Gas Accounts,57,13.61647727
Gas Accounts,58,9.328254848
Gas Accounts,59,9.653144016
Gas Accounts,60,12.18537859
Gas Accounts,61,13.36646434
Gas Accounts,62,12.91054852
Gas Accounts,63,15.53102625
Gas Accounts,64,11.35390947
Gas Accounts,65,11.65984655
Gas Accounts,66,7.285471538
Gas Accounts,67,9.402298851
Gas Accounts,68,12.05718475
Gas Accounts,69,7.953746531
Gas Accounts,70,12.53214513
Gas Accounts,71,12.71079646
Gas Accounts,72,11.11188811
