group,x,y
Multi 7+,1,6533.862689
Multi 7+,2,6389.175413
Multi 7+,3,5483.517254
Multi 7+,4,5178.841121
Multi 7+,5,6488.654565
Multi 7+,6,8848.450755
Multi 7+,7,9569.657081
Multi 7+,8,8547.677211
Multi 7+,9,6514.044213
Multi 7+,10,6563.18404
Multi 7+,11,9710.034148
Multi 7+,12,11687.52768
Multi < 7,1,4143.280904
Multi < 7,2,4519.86271
Multi < 7,3,4413.187972
Multi < 7,4,4281.676551
Multi < 7,5,5220.87364
Multi < 7,6,7260.846045
Multi < 7,7,8609.351289
Multi < 7,8,7780.631213
Multi < 7,9,5701.737967
Multi < 7,10,5355.106411
Multi < 7,11,7165.464954
Multi < 7,12,8711.23282
Single Family,1,5555.601036
Single Family,2,5721.775806
Single Family,3,5420.542055
Single Family,4,5420.916917
Single Family,5,7129.489738
Single Family,6,10505.21684
Single Family,7,11841.20314
Single Family,8,9537.853825
Single Family,9,6517.677265
Single Family,10,6187.069756
Single Family,11,8582.371321
Single Family,12,9634.926284
