group,x,y
Multi 7+,1,3120.414559
Multi 7+,2,2770.962718
Multi 7+,3,2277.817773
Multi 7+,4,1268.356685
Multi 7+,5,822.6247641
Multi 7+,6,481.6817496
Multi 7+,7,396.1558978
Multi 7+,8,368.0332326
Multi 7+,9,393.7137983
Multi 7+,10,614.5947983
Multi 7+,11,1220.135307
Multi 7+,12,2580.99024
Multi < 7,1,2966.492389
Multi < 7,2,2582.409934
Multi < 7,3,2260.166913
Multi < 7,4,1132.058253
Multi < 7,5,692.1159155
Multi < 7,6,387.7824887
Multi < 7,7,290.7294152
Multi < 7,8,262.1495018
Multi < 7,9,273.8929582
Multi < 7,10,401.8615339
Multi < 7,11,924.0997343
Multi < 7,12,2312.1672
Single Family,1,2899.82185
Single Family,2,2567.792809
Single Family,3,2112.015998
Single Family,4,1082.283162
Single Family,5,644.3268871
Single Family,6,355.8374938
Single Family,7,263.4748799
Single Family,8,244.5207626
Single Family,9,246.729396
Single Family,10,367.2523543
Single Family,11,858.7887678
Single Family,12,2224.170705
