group,x,y
Acutal FSI Score,0,67.6
Acutal FSI Score,1,65.6
Acutal FSI Score,2,79.4
Acutal FSI Score,3,91.2
Acutal FSI Score,4,72.3
Acutal FSI Score,5,81.1
Acutal FSI Score,6,81.8
Acutal FSI Score,7,84
Acutal FSI Score,8,90.2
Predicted FSI Score,0,76.79135115
Predicted FSI Score,1,78.34639098
Predicted FSI Score,2,79.60657752
Predicted FSI Score,3,96.03881655
Predicted FSI Score,4,78.13095744
Predicted FSI Score,5,83.71949944
Predicted FSI Score,6,83.08881102
Predicted FSI Score,7,82.53558525
Predicted FSI Score,8,85.36668029
